names,imag+zpve,u298,h298,g298,gap,dipX,dipY,dipZ,dipTotal,core,Tetrahedral_count,Unconnected_triangles_count,Triangles_with_1_shared_vertex_count,Triangles_with_2_shared_vertices_count
AuTM-71.xyz.1315670.hpc-mn1.out , 13.73      16.01      0.924355928402 ,-129.1466981,-128.1666535,-128.3044567,3.693903604,-5.3967,9.847,22.8002,64.599,1,0,0,0,0
AuTM-72.xyz.1315671.hpc-mn1.out , 21.46      27.47      0.229204037503 ,-52.8372919,-52.58644149,-52.65884524,1.79111552,2.4379,-2.0214,-2.1123,9.676,1,0,0,0,0
AuTM-73.xyz.1315672.hpc-mn1.out , 10.67      14.61      0.287980268210 ,-69.72198269,-69.40929458,-69.48796303,1.657908389,-0.6717,-3.2604,0.5927,8.594,1,0,0,0,0
AuTM-74.xyz.1315673.hpc-mn1.out , 24.17      26.95      0.051067193236 ,-34.21454566,-34.15190537,-34.20257278,2.964738875,2.3306,0.0001,1.9351,7.7,1,0,0,0,0
AuTM-75.xyz.1315674.hpc-mn1.out , -9.56      9.11       0.394180727295 ,-93.92547425,-93.49714739,-93.59533811,3.120858078,2.8704,1.0848,-0.5237,7.912,1,0,0,0,0
AuTM-76.xyz.1315675.hpc-mn1.out , 25.73      43.63      0.097877035907 ,-62.29598625,-62.17776942,-62.24590793,1.044500532,-9.0617,-7.78,-1.4472,30.579,1,0,0,0,0
AuTM-77.xyz.1315676.hpc-mn1.out , 1.60       4.97       0.368276871534 ,-77.45937267,-77.0603947,-77.15391828,3.177042233,-0.6472,4.87,33.3527,85.689,1,0,0,0,0
AuTM-78.xyz.1315677.hpc-mn1.out , 15.10      26.87      0.549289979328 ,-94.21112486,-93.62711081,-93.72523417,3.146959499,-0.0798,-3.1327,0.7868,8.212,1,0,0,0,0
AuTM-79.xyz.1315678.hpc-mn1.out , 7.47       8.69       0.545254611606 ,-96.92400257,-96.33280822,-96.45499344,2.279159408,3.0112,1.5959,-2.3198,10.478,1,0,0,0,0
AuTM-80.xyz.1315679.hpc-mn1.out , 10.53      20.09      0.481757903868 ,-102.5435479,-102.0256769,-102.1268024,1.011256624,1.651,-2.6377,3.0334,11.046,1,0,0,0,0
AuTM-81.xyz.1315680.hpc-mn1.out , -10.86     35.28      0.226434632905 ,-37.62130775,-37.37677587,-37.4399231,3.072985489,10.9961,-0.3086,3.2475,29.153,1,0,0,0,0
AuTM-82.xyz.1315681.hpc-mn1.out , -10.29     13.65      0.622517812685 ,-93.7838395,-93.12186935,-93.22972879,1.826010492,-0.0635,-3.3785,0.14,8.596,1,0,0,0,0
AuTM-83.xyz.1315682.hpc-mn1.out , 12.10      14.40      0.683684618926 ,-191.5346899,-190.7861908,-190.9442969,2.227948131,5.5464,14.7305,44.9051,120.946,1,0,0,0,0
AuTM-84.xyz.1315683.hpc-mn1.out , 9.64       18.31      0.341569705953 ,-65.63102211,-65.2620063,-65.34809784,1.799095745,-1.0298,-1.8422,-3.0877,9.506,1,0,0,0,0
AuTM-85.xyz.1315684.hpc-mn1.out , -6.05      5.16       0.277139293643 ,-70.2336265,-69.93122019,-70.01226072,2.470191492,-1.9225,-4.0185,1.1022,11.664,1,0,0,0,0
AuTM-86.xyz.1315685.hpc-mn1.out , 12.76      13.35      0.695827732777 ,-120.2743916,-119.5327083,-119.6543323,3.972620575,12.9288,11.8202,28.6146,85.278,1,0,0,0,0
AuTM-87.xyz.1315686.hpc-mn1.out , 7.23       13.50      0.563663658668 ,-83.81987826,-83.21697444,-83.32380298,2.943073184,4.6301,-4.0107,7.542,24.696,1,0,0,0,0
AuTM-88.xyz.1315687.hpc-mn1.out , 12.06      20.75      0.472962726646 ,-98.72638809,-98.21782347,-98.3167224,2.216760149,0.9154,-2.3306,3.644,11.238,1,0,0,0,0
